PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
1226,lencx-patch-4,README.md,2024-03-11T11:13:28Z,2024-03-11T11:13:34Z,lencx,chore: add Noi,,
1223,patch-1,src/view/about/index.tsx,2024-03-10T18:36:37Z,2024-03-11T02:52:08Z,webbertakken,fix: couple of typos in about,"Fix accidental space 
![image](https://github.com/lencx/ChatGPT/assets/20756439/81eacdd9-4d4c-4324-afdc-31d98fc8ec5c)
",
1200,lencx-patch-3,README.md,2024-01-29T10:34:05Z,2024-01-29T10:34:14Z,lencx,add Noi,,
1172,main,casks/chatgpt.rb,2023-12-13T09:26:57Z,2024-03-11T02:52:22Z,wubaiqing,fix: brew cask version number,update brew cask version number,
1101,patch-1,Chatgpt,2023-10-17T07:21:04Z,2024-03-11T02:51:02Z,Aabbcc22,Create Chatgp,Welcome to CHATGPT,
1083,main,README.md,2023-10-07T17:04:01Z,2023-10-26T13:47:37Z,isbrakha,Edited the README.md file,,
1074,patch-2,README.md,2023-09-22T05:42:30Z,2023-09-22T05:45:35Z,asheroto,Update README.md,Fixed extra parentheses in Features,
1017,main,".gitignore, scripts/export.js",2023-07-27T06:50:53Z,2023-08-03T08:25:28Z,djdarcy,Improved exportMarkdown() & getName() to better preserve user input,"The changes to `scripts/export.js` below add better support to:
* maintain proper carriage returns in the markdown output
* retain indentation by converting appropriate whitespace (spaces, tabs, etc) to `&nbsp;` and then calling ExportMD

There is also some stub code to improve the readability of the exported filenames, but this will likely also require changes to some of the Rust code.",
988,lencx-patch-3,README.md,2023-07-05T14:50:00Z,2023-07-05T14:50:07Z,lencx,readme,,
985,lencx-patch-2,README.md,2023-07-05T03:27:28Z,2023-07-05T03:27:34Z,lencx,readme,,
984,main,.github/ISSUE_TEMPLATE/bug_report.yml,2023-07-01T05:25:43Z,2023-07-04T06:02:47Z,asheroto,Update Issue template to avoid non-package Issues,"I noticed that many people are creating an issue for things that have nothing to do with this package.

To help prevent against non-package issues, I have added some additional information at the top, as well as added a checkbox requiring people to check that the issue does not occur on ChatGPT and only in this app. 😊",
